"DT";"DEAL_ID";"BALMAIN";"BALPRMN";"PRODUCT";"CURCODENUM";"CURCODE";"DOCBEGINDATE";"ENDDATEWOPROLONG";"ENDDATEWITHPROLONG";"OVERDUETERMMAINDAY";"OVERDUETERMPERCDAY";"OVERDUEDATEMAIN";"OVERDUEDATEPERC";"DOCSUMCUR";"DOCSUMRUR";"MAINRESTCUR";"MAINRESTRUR";"PRMNRESTCUR";"PRMNRESTRUR";"DOCPROCRATE";"SUMNACHPERCBALCUR";"SUMNACHPERCBALRUR";"SUMPRPERCBALCUR";"SUMPRPERCBALRUR";"RISKGROUP254";"RESERVERATERPBU";"SUMRESERVEMAINRPBU";"SUMRESERVEPRMNRPBU";"SUMRESERVEPRMN";"SUMRESERVEPRPR"
31.03.2020;17110239;;"45815";"Пенсионеры";"810";"Рубли";21.11.2013;21.11.2016;21.11.2016;1554;1554;30.12.2015;30.12.2015;77000;77000;;;30879.94;30879.94;25.5;236.66;236.66;34536.21;34536.21;"5";100;;30879.94;236.66;34536.21
31.03.2020;17229336;;"45815";"Пенсионеры";"810";"Рубли";28.11.2013;21.11.2016;21.11.2016;1563;1563;21.12.2015;21.12.2015;80000;80000;;;31485.5;31485.5;25.5;241.3;241.3;35232.46;35232.46;"5";100;;31485.5;241.3;35232.46
31.03.2020;20953728;;"45815";"Пенсионеры";"810";"Рубли";03.12.2013;20.12.2016;20.12.2016;1318;1318;22.08.2016;22.08.2016;100000;100000;;;19135.97;19135.97;25.5;146.66;146.66;18207.2;18207.2;"5";100;;19135.97;146.66;18207.2
31.03.2020;21112133;;"45815";"Пенсионеры";"810";"Рубли";16.12.2013;20.12.2016;20.12.2016;1381;1381;20.06.2016;20.06.2016;66000;66000;;;16168.27;16168.27;25.5;123.91;123.91;16048.49;16048.49;"5";100;;16168.27;123.91;16048.49
31.03.2020;21260315;;;"Пенсионеры";"810";"Рубли";26.12.2013;20.12.2016;20.12.2016;;1136;;20.02.2017;100000;100000;;;;;0;;;25428.69;25428.69;"5";100;;;;25428.69
31.03.2020;25560502;;"45815";"Пенсионеры";"810";"Рубли";28.01.2014;20.01.2016;20.01.2016;1594;1594;20.11.2015;20.11.2015;84000;84000;;;11262.26;11262.26;23.9;80.89;80.89;11917.98;11917.98;"5";100;;11262.26;80.89;11917.98
31.03.2020;25562419;;"45815";"Пенсионеры";"810";"Рубли";28.01.2014;20.01.2017;20.01.2017;1563;1563;21.12.2015;21.12.2015;89000;89000;;;40436.23;40436.23;25.5;309.9;309.9;45243.88;45243.88;"5";100;;40436.23;309.9;45243.88
31.03.2020;25580151;;"45815";"Пенсионеры";"810";"Рубли";29.01.2014;20.01.2016;20.01.2016;1685;1685;21.08.2015;21.08.2015;50000;50000;;;13744.14;13744.14;23.9;98.72;98.72;15520.84;15520.84;"5";100;;13744.14;98.72;15520.84
31.03.2020;25583423;;"45815";"Пенсионеры";"810";"Рубли";29.01.2014;20.01.2017;20.01.2017;1412;1412;20.05.2016;20.05.2016;71000;71000;;;20980.94;20980.94;25.5;160.8;160.8;21259.16;21259.16;"5";100;;20980.94;160.8;21259.16
31.03.2020;25745051;;"45815";"Пенсионеры";"810";"Рубли";12.02.2014;20.02.2017;20.02.2017;1528;1528;25.01.2016;25.01.2016;90000;90000;;;42342.94;42342.94;25.5;324.51;324.51;46487.2;46487.2;"5";100;;42342.94;324.51;46487.2
31.03.2020;26819778;;"45815";"Пенсионеры";"810";"Рубли";27.02.2014;20.02.2017;20.02.2017;1927;2112;22.12.2014;20.06.2014;69000;69000;;;52975.39;52975.39;25.5;406;406;92257.52;92257.52;"5";100;;52975.39;406;92257.52
31.03.2020;27402100;;"45815";"Пенсионеры";"810";"Рубли";14.04.2014;20.04.2017;20.04.2017;1412;1381;20.05.2016;20.06.2016;50000;50000;;;19699.88;19699.88;25.5;150.97;150.97;19532.84;19532.84;"5";100;;19699.88;150.97;19532.84
31.03.2020;27418135;;"45815";"Пенсионеры";"810";"Рубли";15.04.2014;20.04.2016;20.04.2016;1625;1625;20.10.2015;20.10.2015;100000;100000;;;33432.68;33432.68;23.9;240.14;240.14;36409.5;36409.5;"5";100;;33432.68;240.14;36409.5
31.03.2020;27527707;;"45815";"Пенсионеры";"810";"Рубли";24.04.2014;20.04.2017;20.04.2017;1533;1533;20.01.2016;20.01.2016;100000;100000;;;52046.76;52046.76;25.5;398.88;398.88;57157.54;57157.54;"5";100;;52046.76;398.88;57157.54
31.03.2020;27527782;;"45815";"Пенсионеры";"810";"Рубли";24.04.2014;20.04.2017;20.04.2017;1167;1167;20.01.2017;20.01.2017;73000;73000;;;9509.83;9509.83;25.5;72.88;72.88;8036.36;8036.36;"5";100;;9509.83;72.88;8036.36
31.03.2020;27599445;;"45815";"Пенсионеры";"810";"Рубли";30.04.2014;20.04.2017;20.04.2017;1577;1867;07.12.2015;20.02.2015;73000;73000;;;34422.14;34422.14;25.5;263.81;263.81;69927.56;69927.56;"5";100;;34422.14;263.81;69927.56
31.03.2020;27674156;;"45815";"Пенсионеры";"810";"Рубли";08.05.2014;22.05.2017;22.05.2017;1442;1442;20.04.2016;20.04.2016;70000;70000;;;33418.49;33418.49;25.5;256.11;256.11;34544.22;34544.22;"5";100;;33418.49;256.11;34544.22
31.03.2020;27784863;;"45815";"Пенсионеры";"810";"Рубли";16.05.2014;22.05.2017;22.05.2017;1255;1259;24.10.2016;20.10.2016;88000;88000;;;24646.93;24646.93;25.5;188.89;188.89;22341.87;22341.87;"5";100;;24646.93;188.89;22341.87
31.03.2020;27785687;;"45815";"Пенсионеры";"810";"Рубли";16.05.2014;22.05.2017;22.05.2017;1625;1625;20.10.2015;20.10.2015;69000;69000;;;43711.41;43711.41;25.5;335;335;50750.86;50750.86;"5";100;;43711.41;335;50750.86
31.03.2020;27811616;;"45815";"Пенсионеры";"810";"Рубли";19.05.2014;22.08.2016;22.08.2016;1442;1442;20.04.2016;20.04.2016;100000;100000;;;22022.59;22022.59;25.5;168.78;168.78;22334.75;22334.75;"5";100;;22022.59;168.78;22334.75
31.03.2020;27929228;;"45815";"Пенсионеры";"810";"Рубли";23.05.2014;22.05.2017;22.05.2017;1563;1563;21.12.2015;21.12.2015;100000;100000;;;57474.16;57474.16;25.5;440.48;440.48;64298.91;64298.91;"5";100;;57474.16;440.48;64298.91
31.03.2020;27993306;;"45815";"Пенсионеры";"810";"Рубли";27.05.2014;22.05.2017;22.05.2017;1387;1387;14.06.2016;14.06.2016;73000;73000;;;33320.63;33320.63;25.5;255.37;255.37;34468.08;34468.08;"5";100;;33320.63;255.37;34468.08
31.03.2020;28018791;;"45815";"Пенсионеры";"810";"Рубли";28.05.2014;22.05.2017;22.05.2017;1412;1412;20.05.2016;20.05.2016;29000;29000;;;12346.79;12346.79;25.5;94.62;94.62;12506.36;12506.36;"5";100;;12346.79;94.62;12506.36
31.03.2020;28101441;;"45815";"Пенсионеры";"810";"Рубли";03.06.2014;20.06.2017;20.06.2017;1045;1045;22.05.2017;22.05.2017;75000;75000;;;6264.03;6264.03;25.5;48.01;48.01;4770.62;4770.62;"5";100;;6264.03;48.01;4770.62
31.03.2020;28167806;;"45815";"Пенсионеры";"810";"Рубли";06.06.2014;20.06.2017;20.06.2017;1489;;04.03.2016;;100000;100000;;;53712.9;53712.9;25.5;;;;;"5";100;;53712.9;;
31.03.2020;28190957;;"45815";"Пенсионеры";"810";"Рубли";09.06.2014;20.06.2017;20.06.2017;1654;1654;21.09.2015;21.09.2015;90000;90000;;;62269.49;62269.49;25.5;477.23;477.23;73660;73660;"5";100;;62269.49;477.23;73660
31.03.2020;28220635;;"45815";"Пенсионеры";"810";"Рубли";10.06.2014;20.06.2017;20.06.2017;1717;1717;20.07.2015;20.07.2015;100000;100000;;;73983.68;73983.68;0;;;53359.13;53359.13;"5";100;;73983.68;;53359.13
31.03.2020;28820307;;"45815";"Пенсионеры";"810";"Рубли";25.06.2014;20.06.2017;20.06.2017;1442;1442;20.04.2016;20.04.2016;50000;50000;;;24378.13;24378.13;25.5;186.83;186.83;25216.62;25216.62;"5";100;;24378.13;186.83;25216.62
31.03.2020;28977259;;"45815";"Пенсионеры";"810";"Рубли";08.07.2014;20.07.2016;20.07.2016;1885;1867;02.02.2015;20.02.2015;100000;100000;;;82486.12;82486.12;23.9;592.5;592.5;104533.15;104533.15;"5";100;;82486.12;592.5;104533.15
31.03.2020;29172231;;"45815";"Пенсионеры";"810";"Рубли";23.07.2014;20.07.2016;20.07.2016;1442;1442;20.04.2016;20.04.2016;35000;35000;;;6584.76;6584.76;23.9;47.3;47.3;6376.42;6376.42;"5";100;;6584.76;47.3;6376.42
31.03.2020;29312978;;"45815";"Пенсионеры";"810";"Рубли";01.08.2014;21.08.2017;21.08.2017;1594;1594;20.11.2015;20.11.2015;100000;100000;;;69979.62;69979.62;25.5;536.32;536.32;79791.77;79791.77;"5";100;;69979.62;536.32;79791.77
31.03.2020;29369937;;"45815";"Пенсионеры";"810";"Рубли";06.08.2014;21.08.2017;21.08.2017;1640;1640;05.10.2015;05.10.2015;99000;99000;;;73546.03;73546.03;25.5;563.65;563.65;86969.28;86969.28;"5";100;;73546.03;563.65;86969.28
31.03.2020;29390923;;"45815";"Пенсионеры";"810";"Рубли";07.08.2014;21.08.2017;21.08.2017;1402;1402;30.05.2016;30.05.2016;62000;62000;;;31450.58;31450.58;25.5;;;540.72;540.72;"5";100;;31450.58;;540.72
31.03.2020;29427102;;"45815";"Пенсионеры";"810";"Рубли";08.08.2014;22.08.2016;22.08.2016;1594;1594;20.11.2015;20.11.2015;100000;100000;;;47222.08;47222.08;23.9;339.2;339.2;50488.69;50488.69;"5";100;;47222.08;339.2;50488.69
31.03.2020;29521864;;"45815";"Пенсионеры";"810";"Рубли";13.08.2014;21.08.2017;21.08.2017;1412;1412;20.05.2016;20.05.2016;60000;60000;;;31730.31;31730.31;25.5;243.18;243.18;32135.67;32135.67;"5";100;;31730.31;243.18;32135.67
31.03.2020;29634668;;"45815";"Пенсионеры";"810";"Рубли";21.08.2014;21.08.2017;21.08.2017;1562;1778;22.12.2015;20.05.2015;65000;65000;;;49815.79;49815.79;25.5;381.79;381.79;66936.68;66936.68;"5";100;;49815.79;381.79;66936.68
31.03.2020;29720366;;"45815";"Пенсионеры";"810";"Рубли";28.08.2014;21.08.2017;21.08.2017;1654;1654;21.09.2015;21.09.2015;69000;69000;;;49918.48;49918.48;25.5;382.57;382.57;59048.71;59048.71;"5";100;;49918.48;382.57;59048.71
31.03.2020;29977078;;"45815";"Пенсионеры";"810";"Рубли";17.09.2014;20.09.2017;20.09.2017;1654;1686;21.09.2015;20.08.2015;29000;29000;;;21330.72;21330.72;25.5;163.48;163.48;26030.89;26030.89;"5";100;;21330.72;163.48;26030.89
31.03.2020;29990932;;;"Пенсионеры";"810";"Рубли";18.09.2014;20.09.2017;20.09.2017;;894;;20.10.2017;54000;54000;;;;;0;;;19247.33;19247.33;"5";100;;;;19247.33
31.03.2020;30048399;;"45815";"Пенсионеры";"810";"Рубли";23.09.2014;21.03.2016;21.03.2016;1533;1533;20.01.2016;20.01.2016;30000;30000;;;5341.59;5341.59;23.9;38.37;38.37;5507.31;5507.31;"5";100;;5341.59;38.37;5507.31
31.03.2020;30150961;;"45815";"Пенсионеры";"810";"Рубли";01.10.2014;20.10.2016;20.10.2016;1351;1351;20.07.2016;20.07.2016;60000;60000;;;12422.89;12422.89;23.9;89.23;89.23;11310.73;11310.73;"5";100;;12422.89;89.23;11310.73
31.03.2020;30182856;;"45815";"Пенсионеры";"810";"Рубли";03.10.2014;20.10.2017;20.10.2017;1077;1077;20.04.2017;20.04.2017;73000;73000;;;19080.07;19080.07;25.5;146.23;146.23;14890.61;14890.61;"5";100;;19080.07;146.23;14890.61
31.03.2020;30266784;;"45815";"Пенсионеры";"810";"Рубли";08.10.2014;20.10.2017;20.10.2017;924;924;20.09.2017;20.09.2017;100000;100000;;;7643.29;7643.29;25.5;58.58;58.58;5169.69;5169.69;"5";100;;7643.29;58.58;5169.69
31.03.2020;30371487;;"45815";"Пенсионеры";"810";"Рубли";15.10.2014;20.10.2017;20.10.2017;1016;954;20.06.2017;21.08.2017;73000;73000;;;10720.2;10720.2;25.5;82.16;82.16;7482.28;7482.28;"5";100;;10720.2;82.16;7482.28
