"REP_DT";"DEAL_ID";"PRNT_DEAL_ID";"DEAL_TYPE";"ACCT_BACC";"ACCT_NUMBER24";"CRT_CRNC_ACC";"CRT_CRNC";"CRT_FD";"CRT_TD";"CRT_TD1";"EX";"EX10";"EXF";"EXF10";"CRT_SUM";"CRT_SUM_RUR";"CURRATE";"SUM_RUR13";"SUM_RUR24";"RATE";"SUM_RUR47427";"SUM_RUR459";"GROUP_NUM";"COUNTREZ_PCT";"SUM_RUR5";"SUM_RUR6";"SUM_RUR47425";"SUM_RUR45918"
31.03.2020;411362343;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";28.04.2017;02.11.2017;02.11.2017;881;786;881;786;2236528.87;2236528.87;1;0;2236528.87;0.16;0;542159.11;"5";1;0;2236528.87;0;542159.11
31.03.2020;429474365;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";02.05.2017;02.11.2017;02.11.2017;881;786;881;786;2857205.88;2857205.88;1;0;2857205.88;0.16;0;692618.02;"5";1;0;2857205.88;0;692618.02
31.03.2020;433942440;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";03.05.2017;02.11.2017;02.11.2017;881;786;881;786;1505375.41;1505375.41;1;0;1505375.41;0.16;0;364919.5;"5";1;0;1505375.41;0;364919.5
31.03.2020;438462305;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";04.05.2017;03.11.2017;03.11.2017;880;786;880;786;1255906.36;1255906.36;1;0;1255906.36;0.16;0;304445.47;"5";1;0;1255906.36;0;304445.47
31.03.2020;442971176;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";05.05.2017;03.11.2017;03.11.2017;880;786;880;786;396265.94;396265.94;1;0;396265.94;0.16;0;96059.21;"5";1;0;396265.94;0;96059.21
31.03.2020;465641556;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";10.05.2017;07.11.2017;07.11.2017;876;786;876;786;625708.93;625708.93;1;0;625708.93;0.16;0;151678.7;"5";1;0;625708.93;0;151678.7
31.03.2020;470194313;63088679;"2Транш";"45205";"45812";"Рубли";"Рубли";11.05.2017;07.11.2017;07.11.2017;876;786;876;786;187490;187490;1;0;187490;0.16;0;45449.63;"5";1;0;187490;0;45449.63
31.03.2020;474733877;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";12.05.2017;01.02.2018;01.02.2018;790;853;790;786;1960969.82;1960969.82;1;0;1960969.82;0.16;0;474500.97;"5";1;0;1960969.82;0;474500.97
31.03.2020;488351785;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";15.05.2017;01.02.2018;01.02.2018;790;853;790;786;570097.63;570097.63;1;0;570097.63;0.16;0;137948.01;"5";1;0;570097.63;0;137948.01
31.03.2020;492883017;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";16.05.2017;02.02.2018;02.02.2018;789;853;789;763;2159239.94;2159239.94;1;0;2159239.94;0.16;0;521530.39;"5";1;0;2159239.94;0;521530.39
31.03.2020;497437758;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";17.05.2017;02.02.2018;02.02.2018;789;853;789;763;225031.98;225031.98;1;0;225031.98;0.16;0;54352.93;"5";1;0;225031.98;0;54352.93
31.03.2020;501988068;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";18.05.2017;02.02.2018;02.02.2018;789;853;789;763;63659.03;63659.03;1;0;63659.03;0.16;0;15375.84;"5";1;0;63659.03;0;15375.84
31.03.2020;506545698;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";19.05.2017;02.02.2018;02.02.2018;789;853;789;763;170074.5;170074.5;1;0;170074.5;0.16;0;41078.82;"5";1;0;170074.5;0;41078.82
31.03.2020;521962038;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";22.05.2017;02.02.2018;02.02.2018;789;853;789;763;374565.45;374565.45;1;0;374565.45;0.16;0;90470.38;"5";1;0;374565.45;0;90470.38
31.03.2020;526460082;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";23.05.2017;02.02.2018;02.02.2018;789;853;789;763;1310531.11;1310531.11;1;0;1310531.11;0.16;0;316538.14;"5";1;0;1310531.11;0;316538.14
31.03.2020;532772489;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";24.05.2017;02.02.2018;02.02.2018;789;853;789;763;1540500;1540500;1;0;1540500;0.16;0;372083.51;"5";1;0;1540500;0;372083.51
31.03.2020;545395775;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";26.05.2017;02.02.2018;02.02.2018;789;853;789;763;421046.06;421046.06;1;0;421046.06;0.16;0;101697.04;"5";1;0;421046.06;0;101697.04
31.03.2020;570645023;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";30.05.2017;02.02.2018;02.02.2018;789;853;789;763;180000;180000;1;0;180000;0.16;0;43476.16;"5";1;0;180000;0;43476.16
31.03.2020;576961601;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";31.05.2017;02.02.2018;02.02.2018;789;853;789;763;142614.44;142614.44;1;0;142614.44;0.16;0;34446.27;"5";1;0;142614.44;0;34446.27
31.03.2020;583279819;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";01.06.2017;02.02.2018;02.02.2018;789;853;789;763;940000;940000;1;0;940000;0.16;0;227042.19;"5";1;0;940000;0;227042.19
31.03.2020;589603005;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";02.06.2017;02.02.2018;02.02.2018;789;853;789;763;3950453.7;3950453.7;1;0;3950453.7;0.16;0;954169.86;"5";1;0;3950453.7;0;954169.86
31.03.2020;610339464;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";05.06.2017;02.02.2018;02.02.2018;789;853;789;763;202305.6;202305.6;1;0;202305.6;0.16;0;48863.73;"5";1;0;202305.6;0;48863.73
31.03.2020;614854757;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";06.06.2017;02.02.2018;02.02.2018;789;853;789;763;34100;34100;1;0;34100;0.16;0;8236.32;"5";1;0;34100;0;8236.32
31.03.2020;622935133;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";07.06.2017;02.02.2018;02.02.2018;789;853;789;763;205000;205000;1;0;205000;0.16;0;49514.52;"5";1;0;205000;0;49514.52
31.03.2020;627506208;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";08.06.2017;02.02.2018;02.02.2018;789;853;789;763;510500;510500;1;0;510500;0.16;0;123303.23;"5";1;0;510500;0;123303.23
31.03.2020;633843318;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";09.06.2017;02.02.2018;02.02.2018;789;853;789;763;2884856.12;2884856.12;1;0;2884856.12;0.16;0;696791.55;"5";1;0;2884856.12;0;696791.55
31.03.2020;653145518;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";13.06.2017;02.02.2018;02.02.2018;789;853;789;763;105000;105000;1;0;105000;0.16;0;25361.1;"5";1;0;105000;0;25361.1
31.03.2020;659481689;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";14.06.2017;02.02.2018;02.02.2018;789;853;789;763;310349.8;310349.8;1;0;310349.8;0.16;0;74960.11;"5";1;0;310349.8;0;74960.11
31.03.2020;665819412;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";15.06.2017;02.02.2018;02.02.2018;789;853;789;763;125681.4;125681.4;1;0;125681.4;0.16;0;30356.36;"5";1;0;125681.4;0;30356.36
31.03.2020;672156857;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";16.06.2017;02.02.2018;02.02.2018;789;853;789;763;210000;210000;1;0;210000;0.16;0;50722.19;"5";1;0;210000;0;50722.19
31.03.2020;691168146;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";19.06.2017;02.02.2018;02.02.2018;789;853;789;763;795169.53;795169.53;1;0;795169.53;0.16;0;192060.67;"5";1;0;795169.53;0;192060.67
31.03.2020;697501969;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";20.06.2017;02.02.2018;02.02.2018;789;853;789;763;1319157.11;1319157.11;1;0;1319157.11;0.16;0;318621.62;"5";1;0;1319157.11;0;318621.62
31.03.2020;703852574;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";21.06.2017;02.02.2018;02.02.2018;789;853;789;763;1203215.14;1203215.14;1;0;1203215.14;0.16;0;290617.66;"5";1;0;1203215.14;0;290617.66
31.03.2020;710199840;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";22.06.2017;02.02.2018;02.02.2018;789;853;789;763;117742.39;117742.39;1;0;117742.39;0.16;0;28438.82;"5";1;0;117742.39;0;28438.82
31.03.2020;716556963;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";23.06.2017;02.02.2018;02.02.2018;789;853;789;763;770033.17;770033.17;1;0;770033.17;0.16;0;185989.38;"5";1;0;770033.17;0;185989.38
31.03.2020;739916336;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";26.06.2017;02.02.2018;02.02.2018;789;853;789;763;61759;61759;1;0;61759;0.16;0;14916.91;"5";1;0;61759;0;14916.91
31.03.2020;746261594;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";27.06.2017;02.02.2018;02.02.2018;789;853;789;763;10645.29;10645.29;1;0;10645.29;0.16;0;2571.2;"5";1;0;10645.29;0;2571.2
31.03.2020;752618515;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";28.06.2017;02.02.2018;02.02.2018;789;853;789;763;88172.39;88172.39;1;0;88172.39;0.16;0;21296.65;"5";1;0;88172.39;0;21296.65
31.03.2020;758971641;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";29.06.2017;02.02.2018;02.02.2018;789;853;789;763;52032.1;52032.1;1;0;52032.1;0.16;0;12567.53;"5";1;0;52032.1;0;12567.53
31.03.2020;778182342;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";30.06.2017;02.02.2018;02.02.2018;789;853;789;763;58552.82;58552.82;1;0;58552.82;0.16;0;14142.51;"5";1;0;58552.82;0;14142.51
31.03.2020;783168189;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";03.07.2017;02.02.2018;02.02.2018;789;853;789;763;879875.79;879875.79;1;0;879875.79;0.16;0;212520.14;"5";1;0;879875.79;0;212520.14
31.03.2020;787714662;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";04.07.2017;02.02.2018;02.02.2018;789;853;789;763;341266.41;341266.41;1;0;341266.41;0.16;0;82427.53;"5";1;0;341266.41;0;82427.53
31.03.2020;794082870;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";05.07.2017;02.02.2018;02.02.2018;789;853;789;763;1365809;1365809;1;0;1365809;0.16;0;329889.65;"5";1;0;1365809;0;329889.65
31.03.2020;800442119;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";06.07.2017;02.02.2018;02.02.2018;789;853;789;763;658563.89;658563.89;1;0;658563.89;0.16;0;159065.73;"5";1;0;658563.89;0;159065.73
31.03.2020;806806774;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";07.07.2017;02.02.2018;02.02.2018;789;853;789;763;223918.25;223918.25;1;0;223918.25;0.16;0;54083.93;"5";1;0;223918.25;0;54083.93
31.03.2020;825899309;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";10.07.2017;02.02.2018;02.02.2018;789;853;789;763;277476.6;277476.6;1;0;277476.6;0.16;0;67020.1;"5";1;0;277476.6;0;67020.1
31.03.2020;832260134;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";11.07.2017;02.02.2018;02.02.2018;789;853;789;763;539701.55;539701.55;1;0;539701.55;0.16;0;130356.41;"5";1;0;539701.55;0;130356.41
31.03.2020;840025865;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";12.07.2017;02.02.2018;02.02.2018;789;853;789;763;520415.36;520415.36;1;0;520415.36;0.16;0;125698.13;"5";1;0;520415.36;0;125698.13
31.03.2020;845007850;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";13.07.2017;02.02.2018;02.02.2018;789;853;789;763;2323393.4;2323393.4;1;0;2323393.4;0.16;0;561179.07;"5";1;0;2323393.4;0;561179.07
31.03.2020;851390891;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";14.07.2017;02.02.2018;02.02.2018;789;853;789;763;1500070.68;1500070.68;1;0;1500070.68;0.16;0;362318.44;"5";1;0;1500070.68;0;362318.44
31.03.2020;870479088;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";17.07.2017;02.02.2018;02.02.2018;789;853;789;763;2759512.28;2759512.28;1;0;2759512.28;0.16;0;666516.72;"5";1;0;2759512.28;0;666516.72
31.03.2020;881950490;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";18.07.2017;02.02.2018;02.02.2018;789;853;789;763;1391562.66;1391562.66;1;0;1391562.66;0.16;0;336110.04;"5";1;0;1391562.66;0;336110.04
31.03.2020;884984544;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";19.07.2017;02.02.2018;02.02.2018;789;853;789;763;75294;75294;1;0;75294;0.16;0;18186.08;"5";1;0;75294;0;18186.08
31.03.2020;891365080;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";20.07.2017;02.02.2018;02.02.2018;789;853;789;763;206488.7;206488.7;1;0;206488.7;0.16;0;49874.09;"5";1;0;206488.7;0;49874.09
31.03.2020;897757796;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";21.07.2017;02.02.2018;02.02.2018;789;853;789;763;122105.2;122105.2;1;0;122105.2;0.16;0;29492.59;"5";1;0;122105.2;0;29492.59
31.03.2020;933762861;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";24.07.2017;02.02.2018;02.02.2018;789;853;789;763;256996.08;256996.08;1;0;256996.08;0.16;0;62073.35;"5";1;0;256996.08;0;62073.35
31.03.2020;956395397;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";25.07.2017;02.02.2018;02.02.2018;789;853;789;763;20000;20000;1;0;20000;0.16;0;4830.68;"5";1;0;20000;0;4830.68
31.03.2020;979058004;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";26.07.2017;02.02.2018;02.02.2018;789;853;789;763;51786.7;51786.7;1;0;51786.7;0.16;0;12508.26;"5";1;0;51786.7;0;12508.26
31.03.2020;1001727602;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";27.07.2017;02.02.2018;02.02.2018;789;853;789;763;1117226.99;1117226.99;1;0;1117226.99;0.16;0;269848.58;"5";1;0;1117226.99;0;269848.58
31.03.2020;1024414302;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";28.07.2017;02.02.2018;02.02.2018;789;853;789;763;298659.9;298659.9;1;0;298659.9;0.16;0;72136.59;"5";1;0;298659.9;0;72136.59
31.03.2020;1085784748;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";31.07.2017;02.02.2018;02.02.2018;789;853;789;763;45014;45014;1;0;45014;0.16;0;10872.42;"5";1;0;45014;0;10872.42
